generation_index,cost_min,cost_avg,cost_median,cost_p90,avg_no_coverage_rate,avg_error_meters,best_global_cost
0,40000003.92386396,58000000.39238639,60000000.0,60000000.0,0.9666666666666666,3.923863963112396,40000003.92386396
1,38000003.893723086,54100001.177154444,60000000.0,60000000.0,0.9016666666666666,3.923848172141319,38000003.893723086
2,38000003.83443698,43300003.405861095,40000003.93873634,56400002.428041495,0.7216666666666667,3.784290111476837,38000003.83443698
3,35000004.29436011,38600003.9460335,38000004.077680334,40100003.91919563,0.6433333333333333,3.9460335000573727,35000004.29436011
4,34000004.00332141,37500003.84729843,38000003.63288834,39200004.01534943,0.625,3.847298437039135,34000004.00332141
