angle_offset_deg,depth_m,eval_noise_seed,localizable_impacts,mean_error_m,min_inter_sensor_distance_m,n_sensors,no_coverage_rate,num_impacts,total_cost
0.0,4.25,999,26,4.934152535885772,100.0,4,0.13333333333333333,30,45.285735867496285
7.5,4.25,999,27,4.781151946778049,100.0,4,0.1,30,35.11016339964397
15.0,4.25,999,24,5.077809542731601,100.0,4,0.2,30,65.49857715499724
22.5,4.25,999,24,4.738273438099241,100.0,4,0.2,30,65.03748945182693
30.0,4.25,999,28,4.7235155530789985,100.0,4,0.06666666666666667,30,25.043416479960527
37.5,4.25,999,28,4.615633951306714,100.0,4,0.06666666666666667,30,24.872781025360386
45.0,4.25,999,28,4.6227082110335775,100.0,4,0.06666666666666667,30,24.886238908215486
60.0,4.25,999,28,4.650294723328777,100.0,4,0.06666666666666667,30,24.959973241361727
75.0,4.25,999,27,4.339601188610818,100.0,4,0.1,30,34.54548375586391
