angle_offset_deg,depth_m,eval_noise_seed,localizable_impacts,mean_error_m,min_inter_sensor_distance_m,n_sensors,no_coverage_rate,num_impacts,total_cost
0.0,4.25,999,30,5.025184635686889,100.0,5,0.0,30,5.451742117439551
6.0,4.25,999,30,4.866843927316277,100.0,5,0.0,30,5.1957763835078685
12.0,4.25,999,30,4.662945173931594,100.0,5,0.0,30,4.921284299242607
18.0,4.25,999,30,4.360966807407759,100.0,5,0.0,30,4.570335962021287
24.0,4.25,999,30,4.186121743267148,100.0,5,0.0,30,4.344024834718811
30.0,4.25,999,30,4.218666409540864,100.0,5,0.0,30,4.419043649817833
36.0,4.25,999,30,4.716153641289695,100.0,5,0.0,30,5.083602049466512
42.0,4.25,999,30,5.20854391735058,100.0,5,0.0,30,5.671220972379174
60.0,4.25,999,30,5.147018277153459,100.0,5,0.0,30,5.539580014742015
