2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=3
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 48/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 49/80 | best_global_cost=272.680 | iter_best=273.506
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 50/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 51/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 52/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 53/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 54/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 55/80 | best_global_cost=272.680 | iter_best=277.471
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 56/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 57/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 58/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 59/80 | best_global_cost=272.680 | iter_best=273.506
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 60/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 61/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 62/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 63/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 64/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 65/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 66/80 | best_global_cost=272.680 | iter_best=277.471
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 67/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 68/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 69/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:24 | INFO | underwater_sensor_ga.pso | PSO iter 70/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 71/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 72/80 | best_global_cost=272.680 | iter_best=275.220
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 73/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 74/80 | best_global_cost=272.680 | iter_best=274.918
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 75/80 | best_global_cost=272.680 | iter_best=273.595
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 76/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 77/80 | best_global_cost=272.680 | iter_best=274.232
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 78/80 | best_global_cost=272.680 | iter_best=273.506
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 79/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 80/80 | best_global_cost=272.680 | iter_best=272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso_runner | Final PSO best cost (N=3): 272.680
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=4
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 1/80 | best_global_cost=28.053 | iter_best=28.053
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 2/80 | best_global_cost=20.773 | iter_best=20.773
2026-02-23 21:35:25 | INFO | underwater_sensor_ga.pso | PSO iter 3/80 | best_global_cost=20.773 | iter_best=24.464
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 4/80 | best_global_cost=20.773 | iter_best=27.403
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 5/80 | best_global_cost=12.991 | iter_best=12.991
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 6/80 | best_global_cost=12.991 | iter_best=24.675
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 7/80 | best_global_cost=12.991 | iter_best=16.008
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 8/80 | best_global_cost=12.991 | iter_best=17.609
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 9/80 | best_global_cost=12.991 | iter_best=21.878
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 10/80 | best_global_cost=12.312 | iter_best=12.312
2026-02-23 21:35:26 | INFO | underwater_sensor_ga.pso | PSO iter 11/80 | best_global_cost=12.312 | iter_best=16.955
