generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
0,GA_best_gen,5.771998442392542,5.249822645413888,0.0,30,30
0,GA_best_global,5.771998442392542,5.249822645413888,0.0,30,30
1,GA_best_gen,5.835108805803591,5.276556772816421,0.0,30,30
1,GA_best_global,5.771998442392542,5.249822645413888,0.0,30,30
2,GA_best_gen,5.063578491043203,4.728756071409163,0.0,30,30
2,GA_best_global,5.063578491043203,4.728756071409163,0.0,30,30
3,GA_best_gen,4.871335942282785,4.540274266077129,0.0,30,30
3,GA_best_global,4.871335942282785,4.540274266077129,0.0,30,30
4,GA_best_gen,4.291968424298863,4.126469258737688,0.0,30,30
4,GA_best_global,4.291968424298863,4.126469258737688,0.0,30,30
5,GA_best_gen,4.480870125852489,4.277339276464761,0.0,30,30
5,GA_best_global,4.291968424298863,4.126469258737688,0.0,30,30
6,GA_best_gen,4.2403023390643675,4.086931283953133,0.0,30,30
6,GA_best_global,4.2403023390643675,4.086931283953133,0.0,30,30
7,GA_best_gen,4.408689378970368,4.235034369738491,0.0,30,30
7,GA_best_global,4.2403023390643675,4.086931283953133,0.0,30,30
8,GA_best_gen,4.642980096477426,4.412215014822343,0.0,30,30
8,GA_best_global,4.2403023390643675,4.086931283953133,0.0,30,30
9,GA_best_gen,4.458586906581299,4.266706626051317,0.0,30,30
9,GA_best_global,4.2403023390643675,4.086931283953133,0.0,30,30
10,GA_best_gen,4.267088339785662,4.0860563081212335,0.0,30,30
10,GA_best_global,4.2403023390643675,4.086931283953133,0.0,30,30
11,GA_best_gen,4.158776936381644,4.018658863268208,0.0,30,30
11,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
12,GA_best_gen,4.2350788416929355,4.0828863287906385,0.0,30,30
12,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
13,GA_best_gen,4.445601732642551,4.265553338893977,0.0,30,30
13,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
14,GA_best_gen,4.379531026738006,4.197803528316408,0.0,30,30
14,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
15,GA_best_gen,4.167158063722645,4.006366267407879,0.0,30,30
15,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
16,GA_best_gen,4.3255585927646285,4.156782311801555,0.0,30,30
16,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
17,GA_best_gen,4.386646856999463,4.192990200498686,0.0,30,30
17,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
18,GA_best_gen,4.4474972497984915,4.236921006364207,0.0,30,30
18,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
19,GA_best_gen,4.208614146028939,4.065243198347974,0.0,30,30
19,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
20,GA_best_gen,4.202977898870749,4.062487182205564,0.0,30,30
20,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
21,GA_best_gen,4.3668458051477,4.197959185328734,0.0,30,30
21,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
22,GA_best_gen,4.262712196982108,4.121726843127375,0.0,30,30
22,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
23,GA_best_gen,4.2573297339492875,4.106212005385838,0.0,30,30
23,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
24,GA_best_gen,4.234021730683929,4.091281066771348,0.0,30,30
24,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
25,GA_best_gen,4.29382619231842,4.118027588060532,0.0,30,30
25,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
26,GA_best_gen,4.382650765034839,4.189751202961282,0.0,30,30
26,GA_best_global,4.158776936381644,4.018658863268208,0.0,30,30
27,GA_best_gen,4.112713316168145,3.979479259937385,0.0,30,30
27,GA_best_global,4.112713316168145,3.979479259937385,0.0,30,30
28,GA_best_gen,4.218878872908457,4.081677102141602,0.0,30,30
28,GA_best_global,4.112713316168145,3.979479259937385,0.0,30,30
29,GA_best_gen,4.161541366373851,4.006721994504489,0.0,30,30
29,GA_best_global,4.112713316168145,3.979479259937385,0.0,30,30
30,GA_best_gen,4.081610782085551,3.958744237215656,0.0,30,30
30,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
31,GA_best_gen,4.081610782085551,3.958744237215656,0.0,30,30
31,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
32,GA_best_gen,4.1908563091509645,4.040045111781089,0.0,30,30
32,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
33,GA_best_gen,4.260851119900866,4.099920505756951,0.0,30,30
33,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
34,GA_best_gen,4.1900064228531875,4.027131698419292,0.0,30,30
34,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
35,GA_best_gen,4.200882239098207,4.058163057373614,0.0,30,30
35,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
36,GA_best_gen,4.116133272917374,3.9824691965240517,0.0,30,30
36,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
37,GA_best_gen,4.182007829064926,4.038529525003964,0.0,30,30
37,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
38,GA_best_gen,4.319589453730221,4.146277329162958,0.0,30,30
38,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
39,GA_best_gen,4.133062612849906,3.9930454577252252,0.0,30,30
39,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
40,GA_best_gen,4.16489233536388,4.022735795923032,0.0,30,30
40,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
41,GA_best_gen,4.140196409346771,3.9978013220564694,0.0,30,30
41,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
42,GA_best_gen,4.195038960537715,4.046999517323936,0.0,30,30
42,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
43,GA_best_gen,4.2215630803198705,4.043562177429161,0.0,30,30
43,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
44,GA_best_gen,4.23387732599452,4.089976269195179,0.0,30,30
44,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
45,GA_best_gen,4.105380035516541,3.9753003715901634,0.0,30,30
45,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
46,GA_best_gen,4.2544297296351035,4.096788402715134,0.0,30,30
46,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
47,GA_best_gen,4.2103373225073915,4.074275890386965,0.0,30,30
47,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
48,GA_best_gen,4.213027226431785,4.055548757476367,0.0,30,30
48,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
49,GA_best_gen,4.2041399505778765,4.056952234195706,0.0,30,30
49,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
50,GA_best_gen,4.184623919740149,4.046164284610932,0.0,30,30
50,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
51,GA_best_gen,4.338409212147756,4.1673155831989455,0.0,30,30
51,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
52,GA_best_gen,4.214697330670126,4.061162305472456,0.0,30,30
52,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
53,GA_best_gen,4.235312991741867,4.090093021170722,0.0,30,30
53,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
54,GA_best_gen,4.14245069158479,4.012503294936859,0.0,30,30
54,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
55,GA_best_gen,4.14245069158479,4.012503294936859,0.0,30,30
55,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
56,GA_best_gen,4.1357561328030465,3.9902418042111334,0.0,30,30
56,GA_best_global,4.081610782085551,3.958744237215656,0.0,30,30
57,GA_best_gen,4.072524022076904,3.9607246899190174,0.0,30,30
57,GA_best_global,4.072524022076904,3.9607246899190174,0.0,30,30
58,GA_best_gen,4.153385871876395,4.015064820264709,0.0,30,30
58,GA_best_global,4.072524022076904,3.9607246899190174,0.0,30,30
59,GA_best_gen,4.06559682261487,3.9473452300604706,0.0,30,30
59,GA_best_global,4.06559682261487,3.9473452300604706,0.0,30,30
60,GA_best_gen,4.225604842411319,4.066884235147713,0.0,30,30
60,GA_best_global,4.06559682261487,3.9473452300604706,0.0,30,30
61,GA_best_gen,4.250203570791375,4.09613183752653,0.0,30,30
61,GA_best_global,4.06559682261487,3.9473452300604706,0.0,30,30
62,GA_best_gen,4.166611882966577,4.036539880700809,0.0,30,30
62,GA_best_global,4.06559682261487,3.9473452300604706,0.0,30,30
63,GA_best_gen,4.263817808369987,4.116246239926768,0.0,30,30
63,GA_best_global,4.06559682261487,3.9473452300604706,0.0,30,30
64,GA_best_gen,4.025415421934662,3.9127970718390226,0.0,30,30
64,GA_best_global,4.025415421934662,3.9127970718390226,0.0,30,30
65,GA_best_gen,4.139136423126902,4.012893515053658,0.0,30,30
65,GA_best_global,4.025415421934662,3.9127970718390226,0.0,30,30
66,GA_best_gen,3.994312887852069,3.8920620491172935,0.0,30,30
66,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
67,GA_best_gen,4.111415162176496,3.9884232680168474,0.0,30,30
67,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
68,GA_best_gen,4.126905655039767,3.988940819185133,0.0,30,30
68,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
69,GA_best_gen,4.088744578582418,3.9635001015469,0.0,30,30
69,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
70,GA_best_gen,4.081610782085551,3.958744237215656,0.0,30,30
70,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
71,GA_best_gen,4.1225406326181515,3.9814314707545373,0.0,30,30
71,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
72,GA_best_gen,3.994312887852069,3.8920620491172935,0.0,30,30
72,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
73,GA_best_gen,4.08503073883478,3.9617341738023226,0.0,30,30
73,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
74,GA_best_gen,4.135708074821816,4.007445593513337,0.0,30,30
74,GA_best_global,3.994312887852069,3.8920620491172935,0.0,30,30
75,GA_best_gen,3.998909167442762,3.8951262355110887,0.0,30,30
