angle_offset_deg,depth_m,eval_noise_seed,localizable_impacts,mean_error_m,min_inter_sensor_distance_m,n_sensors,no_coverage_rate,num_impacts,total_cost
0.0,4.25,999,15,4.52689586890736,100.0,3,0.5,30,154.74503914064735
10.0,4.25,999,15,4.517384140244873,100.0,3,0.5,30,154.7307715476536
20.0,4.25,999,14,5.174359653404837,100.0,3,0.5333333333333333,30,165.61649688844807
30.0,4.25,999,12,5.2706590370456885,100.0,3,0.6,30,185.68572846616516
40.0,4.25,999,13,5.174997707068327,100.0,3,0.5666666666666667,30,175.64018239871302
50.0,4.25,999,13,5.174997707068327,100.0,3,0.5666666666666667,30,175.64018239871302
60.0,4.25,999,17,5.425013700207827,100.0,3,0.43333333333333335,30,135.94480571391804
80.0,4.25,999,14,5.142259123052631,100.0,3,0.5333333333333333,30,165.5090274814134
100.0,4.25,999,18,5.302153509094413,100.0,3,0.4,30,125.77207272478647
