generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
17,GA_best_global,6.5492918107722815,5.708984956067022,0.0,30,30
18,GA_best_gen,6.2693726447793265,5.573338097533625,0.0,30,30
18,GA_best_global,6.2693726447793265,5.573338097533625,0.0,30,30
19,GA_best_gen,5.977429708079844,5.352436838542251,0.0,30,30
19,GA_best_global,5.977429708079844,5.352436838542251,0.0,30,30
20,GA_best_gen,5.71267009447556,5.2071284333221355,0.0,30,30
20,GA_best_global,5.71267009447556,5.2071284333221355,0.0,30,30
21,GA_best_gen,5.794361140099333,5.256680547613026,0.0,30,30
21,GA_best_global,5.71267009447556,5.2071284333221355,0.0,30,30
22,GA_best_gen,5.792078620016419,5.230011496247859,0.0,30,30
22,GA_best_global,5.71267009447556,5.2071284333221355,0.0,30,30
23,GA_best_gen,5.931032033839392,5.343737622495906,0.0,30,30
23,GA_best_global,5.71267009447556,5.2071284333221355,0.0,30,30
24,GA_best_gen,5.6748461843492235,5.1536387388910505,0.0,30,30
24,GA_best_global,5.6748461843492235,5.1536387388910505,0.0,30,30
25,GA_best_gen,5.529194138179941,5.018050151301846,0.0,30,30
25,GA_best_global,5.529194138179941,5.018050151301846,0.0,30,30
26,GA_best_gen,5.382939920969032,4.970333268610831,0.0,30,30
26,GA_best_global,5.382939920969032,4.970333268610831,0.0,30,30
27,GA_best_gen,5.57587561154326,5.0622269579964385,0.0,30,30
27,GA_best_global,5.382939920969032,4.970333268610831,0.0,30,30
28,GA_best_gen,5.429703597712889,4.928169976691015,0.0,30,30
28,GA_best_global,5.382939920969032,4.970333268610831,0.0,30,30
29,GA_best_gen,5.499682034430138,5.036685958465876,0.0,30,30
29,GA_best_global,5.382939920969032,4.970333268610831,0.0,30,30
30,GA_best_gen,5.244286877211524,4.8178750041402925,0.0,30,30
30,GA_best_global,5.244286877211524,4.8178750041402925,0.0,30,30
31,GA_best_gen,5.370043497664757,4.8977267694826025,0.0,30,30
31,GA_best_global,5.244286877211524,4.8178750041402925,0.0,30,30
32,GA_best_gen,5.647167883879627,5.137423114421357,0.0,30,30
32,GA_best_global,5.244286877211524,4.8178750041402925,0.0,30,30
33,GA_best_gen,5.118914005026773,4.745449459423626,0.0,30,30
33,GA_best_global,5.118914005026773,4.745449459423626,0.0,30,30
34,GA_best_gen,5.34203706446741,4.89940214758663,0.0,30,30
34,GA_best_global,5.118914005026773,4.745449459423626,0.0,30,30
35,GA_best_gen,5.042800530046496,4.6728865259274945,0.0,30,30
35,GA_best_global,5.042800530046496,4.6728865259274945,0.0,30,30
36,GA_best_gen,5.206766151210345,4.8110942957121905,0.0,30,30
36,GA_best_global,5.042800530046496,4.6728865259274945,0.0,30,30
37,GA_best_gen,4.944636623976596,4.606361629255852,0.0,30,30
37,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
38,GA_best_gen,5.157827337603847,4.782691249075208,0.0,30,30
38,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
39,GA_best_gen,5.33032987875258,4.877564588378472,0.0,30,30
39,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
40,GA_best_gen,5.150600843496042,4.754967045427681,0.0,30,30
40,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
41,GA_best_gen,5.099646202398872,4.733868635635499,0.0,30,30
41,GA_best_global,4.944636623976596,4.606361629255852,0.0,30,30
