generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
0,GA_best_gen,47.68666509799789,6.565360731770692,0.13333333333333333,26,30
0,GA_best_global,47.68666509799789,6.565360731770692,0.13333333333333333,26,30
1,GA_best_gen,46.62677689945636,5.7491738778492,0.13333333333333333,26,30
1,GA_best_global,46.62677689945636,5.7491738778492,0.13333333333333333,26,30
2,GA_best_gen,28.529998690169982,20.421378704529616,0.0,30,30
2,GA_best_global,28.529998690169982,20.421378704529616,0.0,30,30
3,GA_best_gen,34.766133232465094,24.669511616160214,0.0,30,30
3,GA_best_global,28.529998690169982,20.421378704529616,0.0,30,30
4,GA_best_gen,10.06964293045386,8.185222325244206,0.0,30,30
4,GA_best_global,10.06964293045386,8.185222325244206,0.0,30,30
5,GA_best_gen,6.2190053064474125,5.514874659489613,0.0,30,30
5,GA_best_global,6.2190053064474125,5.514874659489613,0.0,30,30
6,GA_best_gen,6.3799068473945955,5.6431519154631244,0.0,30,30
6,GA_best_global,6.2190053064474125,5.514874659489613,0.0,30,30
7,GA_best_gen,5.0394208393270326,4.691407011765223,0.0,30,30
7,GA_best_global,5.0394208393270326,4.691407011765223,0.0,30,30
8,GA_best_gen,5.424904201059045,4.919930554981687,0.0,30,30
8,GA_best_global,5.0394208393270326,4.691407011765223,0.0,30,30
9,GA_best_gen,4.915972780242563,4.579347997310951,0.0,30,30
9,GA_best_global,4.915972780242563,4.579347997310951,0.0,30,30
10,GA_best_gen,4.736869958966315,4.461670131484754,0.0,30,30
10,GA_best_global,4.736869958966315,4.461670131484754,0.0,30,30
11,GA_best_gen,4.909892543818364,4.5839335966247585,0.0,30,30
11,GA_best_global,4.736869958966315,4.461670131484754,0.0,30,30
12,GA_best_gen,4.949897040829871,4.643559392744993,0.0,30,30
12,GA_best_global,4.736869958966315,4.461670131484754,0.0,30,30
13,GA_best_gen,4.344163055135671,4.163875987812217,0.0,30,30
13,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
14,GA_best_gen,4.676422275167266,4.408798646672291,0.0,30,30
14,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
15,GA_best_gen,4.837018775179526,4.541681587739494,0.0,30,30
15,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
16,GA_best_gen,4.744469365609003,4.444680952640336,0.0,30,30
16,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
17,GA_best_gen,4.592443594199331,4.348945056998574,0.0,30,30
17,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
18,GA_best_gen,4.580854236537384,4.368844474955399,0.0,30,30
18,GA_best_global,4.344163055135671,4.163875987812217,0.0,30,30
19,GA_best_gen,4.241661080022074,4.069048470322413,0.0,30,30
19,GA_best_global,4.241661080022074,4.069048470322413,0.0,30,30
20,GA_best_gen,4.365167047792919,4.157405369013504,0.0,30,30
20,GA_best_global,4.241661080022074,4.069048470322413,0.0,30,30
21,GA_best_gen,4.344163055135671,4.163875987812217,0.0,30,30
21,GA_best_global,4.241661080022074,4.069048470322413,0.0,30,30
22,GA_best_gen,4.088212317895659,3.9729547051629552,0.0,30,30
22,GA_best_global,4.088212317895659,3.9729547051629552,0.0,30,30
23,GA_best_gen,4.078812322799766,3.9561555635170675,0.0,30,30
23,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
24,GA_best_gen,4.226950126532486,4.076596809336633,0.0,30,30
24,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
25,GA_best_gen,4.079569141552331,3.961913076965716,0.0,30,30
25,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
26,GA_best_gen,4.120326075340812,3.994123960023972,0.0,30,30
26,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
27,GA_best_gen,4.113787983678111,3.996461021265303,0.0,30,30
27,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
28,GA_best_gen,4.244954360104134,4.09652875656049,0.0,30,30
28,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
29,GA_best_gen,4.079569141552331,3.961913076965716,0.0,30,30
29,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
30,GA_best_gen,4.178102817348605,4.040642262566229,0.0,30,30
30,GA_best_global,4.078812322799766,3.9561555635170675,0.0,30,30
31,GA_best_gen,4.059634264060443,3.9473450161386094,0.0,30,30
31,GA_best_global,4.059634264060443,3.9473450161386094,0.0,30,30
32,GA_best_gen,3.993586451055981,3.886268459016535,0.0,30,30
32,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
33,GA_best_gen,4.025415421934662,3.9127970718390226,0.0,30,30
33,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
34,GA_best_gen,4.1735532256673835,4.033238317658588,0.0,30,30
34,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
35,GA_best_gen,4.196604411202458,4.061619300063552,0.0,30,30
35,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
36,GA_best_gen,4.02544580389114,3.9127609951869124,0.0,30,30
36,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
37,GA_best_gen,4.209591166889034,4.057263611806355,0.0,30,30
37,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
38,GA_best_gen,4.079569141552331,3.961913076965716,0.0,30,30
38,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
39,GA_best_gen,4.011216190129329,3.91109147507011,0.0,30,30
39,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
40,GA_best_gen,4.047709788717173,3.935420540795339,0.0,30,30
40,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
41,GA_best_gen,4.078812322799766,3.9561555635170675,0.0,30,30
41,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
42,GA_best_gen,4.08594611929663,3.960911427848311,0.0,30,30
42,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
43,GA_best_gen,4.166611882966577,4.036539880700809,0.0,30,30
43,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
44,GA_best_gen,4.08594611929663,3.960911427848311,0.0,30,30
44,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
45,GA_best_gen,4.054843585214037,3.9401764051265817,0.0,30,30
45,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
46,GA_best_gen,4.0325492184315275,3.917552936170266,0.0,30,30
46,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
47,GA_best_gen,4.0325492184315275,3.917552936170266,0.0,30,30
47,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
48,GA_best_gen,4.047709788717173,3.935420540795339,0.0,30,30
48,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
49,GA_best_gen,4.08594611929663,3.960911427848311,0.0,30,30
49,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
50,GA_best_gen,4.08594611929663,3.960911427848311,0.0,30,30
50,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
51,GA_best_gen,4.047709788717173,3.935420540795339,0.0,30,30
51,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
52,GA_best_gen,4.03182278163544,3.9117593460695073,0.0,30,30
52,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
53,GA_best_gen,4.03182278163544,3.9117593460695073,0.0,30,30
53,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
54,GA_best_gen,3.994312887852069,3.8920620491172935,0.0,30,30
54,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
55,GA_best_gen,4.037339897277933,3.924721547182293,0.0,30,30
55,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
56,GA_best_gen,4.090736798143036,3.968080038860338,0.0,30,30
56,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
57,GA_best_gen,4.195994869446473,4.043470818644761,0.0,30,30
57,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
58,GA_best_gen,4.025415421934662,3.9127970718390226,0.0,30,30
58,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
59,GA_best_gen,4.143616366096,4.000791258643137,0.0,30,30
59,GA_best_global,3.993586451055981,3.886268459016535,0.0,30,30
60,GA_best_gen,3.971222186424973,3.8713589492625293,0.0,30,30
60,GA_best_global,3.971222186424973,3.8713589492625293,0.0,30,30
61,GA_best_gen,4.0477401706736496,3.9353844641432283,0.0,30,30
61,GA_best_global,3.971222186424973,3.8713589492625293,0.0,30,30
62,GA_best_gen,4.121984060518282,3.9849367219960787,0.0,30,30
62,GA_best_global,3.971222186424973,3.8713589492625293,0.0,30,30
63,GA_best_gen,4.0685871596531795,3.941578230318034,0.0,30,30
63,GA_best_global,3.971222186424973,3.8713589492625293,0.0,30,30
64,GA_best_gen,4.079789161486492,3.9568067893082186,0.0,30,30
64,GA_best_global,3.971222186424973,3.8713589492625293,0.0,30,30
65,GA_best_gen,4.140099838914299,4.010027432975004,0.0,30,30
