generation_index,cost_min,cost_avg,cost_median,cost_p90,avg_no_coverage_rate,avg_error_meters,best_global_cost
0,7.603382136209095,36460029.19554302,40000000.0,40000000.0,0.9115000000000001,51.683431514616856,7.603382136209095
1,5.20718326357941,31470068.90572108,38000003.785589606,40000000.0,0.78675,75.40971788021277,5.20718326357941
2,4.792456757306976,22230116.371738415,21000005.81781458,39000002.327340454,0.55575,85.66820763998435,4.792456757306976
3,4.875389607636407,12690052.560268257,14000005.22842881,30100392.953223806,0.31725000000000003,36.43557471672455,4.792456757306976
4,4.212987704568745,2950025.0181232304,5.213791485596192,14000004.594774889,0.07375,17.976359150888474,4.212987704568745
5,4.85108907406404,250008.40062826354,5.860624655596945,7.0088737415664655,0.00625,7.040110946363136,4.212987704568745
6,4.473655359564743,5.45812603002988,5.4686199171371115,5.874761752150665,0.0,4.947722438629488,4.212987704568745
7,4.7735378568909415,5.740356113704171,5.7149041813957915,6.268738369408975,0.0,5.14378757639005,4.212987704568745
8,4.9369705953174545,10006.851536288666,7.051797141727274,8.33837852450606,0.00025,5.952680141254705,4.212987704568745
9,4.835256492069896,40007.25238932033,6.129565971017626,11.860501241650466,0.001,6.225020274338114,4.212987704568745
10,4.322234780520269,5.300386949509201,5.305879998177254,5.837631789790486,0.0,4.804145283020866,4.212987704568745
11,4.425623616405331,10006.801629371597,5.091972475502629,5.578069500948941,0.00025,5.853916208589302,4.212987704568745
12,5.030976807078881,20006.780695765035,6.571212004471693,8.666293183123237,0.0005,5.8899408222106935,4.212987704568745
13,4.547118915735502,5.47844704408692,5.4511220257165895,5.959387874307092,0.0,4.977373687282155,4.212987704568745
14,2000004.6017210358,2000005.2344407933,2000005.1755760629,2000005.6647020653,0.04999999999999999,4.80657873797718,4.212987704568745
15,4.84728261910518,1000005.0574548192,1000004.9882977394,1000005.7084651755,0.024999999999999994,4.646021182197762,4.212987704568745
16,4.757735027659246,5.467777560722507,5.4264787869446565,5.94313470543606,0.0,4.959993425645663,4.212987704568745
17,4.010380988426157,10005.098668742901,4.798924961752933,5.429519206469157,0.00025,4.616090401229041,4.010380988426157
18,4.682757864218608,190006.61122448853,7.253354840374101,1000005.3239778476,0.004750000000000001,5.7921536107918214,4.010380988426157
19,4.654463465472798,5.534293966651976,5.123653732944405,5.66730858574982,0.0,5.022190269286542,4.010380988426157
20,4.267510420562987,340004.795986453,5.115104040152916,1000004.8148477868,0.0085,4.384857349881441,4.010380988426157
21,4.01552257851157,4.697823654460548,4.70603762382526,5.0782644516746425,0.0,4.3690979235708065,4.010380988426157
22,4.876731321238943,20006.25556563346,5.982360682506607,7.568334435860034,0.0005,5.530674100472641,4.010380988426157
23,4.6444191504377486,11.702292900010956,11.784683438755863,12.95928614554822,0.0,9.098708711075115,4.010380988426157
24,4.541908833339077,830005.1711647926,1000004.7220344017,1000005.0735201152,0.020749999999999994,4.745853590476085,4.010380988426157
25,5.114780594742583,510006.5028383221,1000005.1503672012,1000006.397517119,0.012749999999999997,5.640791872473698,4.010380988426157
26,4.062062722955405,4.6855951981685955,4.67630696671031,5.091954852911306,0.0,4.4066731848195575,4.010380988426157
27,4.052821146846464,4.7701189330824745,4.748008390385479,5.178664820961799,0.0,4.439369500580197,4.010380988426157
28,4.7809475802967345,5.573814355325864,5.533074455778923,6.11724759237853,0.0,5.058045873380154,4.010380988426157
29,4.7336366316049,40005.84167233329,5.390804778416575,7.1360411104012496,0.001,5.219895119609899,4.010380988426157
30,4.3633047368913696,5.168101599414514,5.068006237046644,5.479964289657182,0.0,4.7020938464477435,4.010380988426157
31,4.4248316737925295,160006.0052942469,5.764672167519949,1000005.0733863323,0.004,5.3284072153581254,4.010380988426157
32,4.0589395177040934,4.552018055339917,4.556415923702551,4.830583873425185,0.0,4.256971187325672,4.010380988426157
33,4.177943854770181,10.551029699419512,12.253456836440332,12.781227154899938,0.0,8.244522768383106,4.010380988426157
34,4.066553499866887,4.5894534465266155,4.597026926290519,4.8588372519291285,0.0,4.2549475891043675,4.010380988426157
35,4.430668383244463,40005.48960621036,5.288934204499912,7.069643999798237,0.001,5.020688911677715,4.010380988426157
36,4.151271968682883,4.853682606102348,4.852678552472926,5.135819373419992,0.0,4.51449303678786,4.010380988426157
37,3.615728652488403,5.245069747200979,4.3126234463715925,6.409754793876866,0.0,4.638523488793562,3.615728652488403
38,4.073804245252085,6.44434172427686,5.587899197866454,8.797058646770127,0.0,5.584751748088096,3.615728652488403
39,4.2223984484785015,30006.58550792981,5.049774075427008,10.658873583759846,0.00075,5.5951524419282705,3.615728652488403
40,4.4673244586790775,5.073238924841755,5.042490829426843,5.52495441147368,0.0,4.73517841860803,3.615728652488403
41,4.131318926829124,10004.971869355906,4.982262062551764,5.553359596802934,0.00025,4.540919152308508,3.615728652488403
42,4.476275495391833,5.250073460182511,4.989869697773879,5.265365681271381,0.0,4.856372126214759,3.615728652488403
43,3.9725675857203195,20004.655147409005,4.6581270820233565,4.9967883695948565,0.0005,4.358650432922634,3.615728652488403
44,4.017559581433112,20004.600792557205,4.574284764705798,4.940015534323881,0.0005,4.27067587203443,3.615728652488403
45,4.387277118472927,5.293318269422075,4.867948682888654,6.052377806087116,0.0,4.848397512809322,3.615728652488403
